year,y
2024,287.6453268334869
2025,292.6027641272684
2026,297.49998988782164
2027,302.39713140733573
2028,307.2391151457321
2029,312.19655243951377
2030,317.0937782000667
2031,321.9909197195811
2032,326.8329034579774
2033,331.7903407517587
2034,336.68756651231223
2035,341.58470803182604
2036,346.4266917702227
2037,351.38412906400396
2038,356.28135482455735
2039,361.17849634407145
2040,366.02048008246794
2041,370.97791737624965
2042,375.8751431368025
2043,380.7722846563168
2044,385.61426839471306
2045,390.57170568849443
2046,395.4689314490476
2047,400.3660729685623
2048,405.2080567069584
2049,410.16549400074
2050,415.06271976129324
2051,419.95986128080705
2052,424.80184501920354
2053,429.75928231298525
2054,434.65650807353813
2055,439.5536495930525
2056,444.3956333314491
2057,449.35307062523043
2058,454.25029638578354
2059,459.147437905298
2060,463.98942164369413
2061,468.9468589374758
2062,473.8440846980289
2063,478.7412262175429
2064,483.5832099559393
2065,488.5406472497207
2066,493.43787301027396
2067,498.33501452978817
2068,503.17699826818483
2069,508.1344355619662
2070,513.0316613225191
2071,517.9288028420335
2072,522.7707865804299
2073,527.7282238742114
2074,532.6254496347643
2075,537.5225911542786
2076,542.3645748926751
2077,547.3220121864566
2078,552.2192379470098
2079,557.1163794665235
2080,561.9583632049204
2081,566.915800498702
2082,571.8130262592549
2083,576.7101677787689
2084,581.5521515171653
2085,586.5095888109468
2086,591.4068145715001
2087,596.3039560910146
2088,601.1459398294108
2089,606.1033771231927
2090,611.0006028837456
2091,615.8977444032597
2092,620.739728141656
2093,625.6971654354378
2094,630.5943911959906
2095,635.4915327155048
2096,640.3335164539017
2097,645.2909537476827
2098,650.1881795082362
2099,655.0853210277504
2100,659.982374580151
2101,664.8793365592045
2102,669.7762034845333
2103,674.672972007433
