"Year,Annual"
"1913,9.9"
"1914,10.0"
"1915,10.1"
"1916,10.9"
"1917,12.8"
"1918,15.1"
"1919,17.3"
"1920,20.0"
"1921,17.9"
"1922,16.8"
"1923,17.1"
"1924,17.1"
"1925,17.5"
"1926,17.7"
"1927,17.4"
"1928,17.1"
"1929,17.1"
"1930,16.7"
"1931,15.2"
"1932,13.7"
"1933,13.0"
"1934,13.4"
"1935,13.7"
"1936,13.9"
"1937,14.4"
"1938,14.1"
"1939,13.9"
"1940,14.0"
"1941,14.7"
"1942,16.3"
"1943,17.3"
"1944,17.6"
"1945,18.0"
"1946,19.5"
"1947,22.3"
"1948,24.1"
"1949,23.8"
"1950,24.1"
"1951,26.0"
"1952,26.5"
"1953,26.7"
"1954,26.9"
"1955,26.8"
"1956,27.2"
"1957,28.1"
"1958,28.9"
"1959,29.1"
"1960,29.6"
"1961,29.9"
"1962,30.2"
"1963,30.6"
"1964,31.0"
"1965,31.5"
"1966,32.4"
"1967,33.4"
"1968,34.8"
"1969,36.7"
"1970,38.8"
"1971,40.5"
"1972,41.8"
"1973,44.4"
"1974,49.3"
"1975,53.8"
"1976,56.9"
"1977,60.6"
"1978,65.2"
"1979,72.6"
"1980,82.4"
"1981,90.9"
"1982,96.5"
"1983,99.6"
"1,984,103.90"
"1,985,107.60"
"1,986,109.60"
"1,987,113.60"
"1,988,118.30"
"1,989,124.00"
"1,990,130.70"
"1,991,136.20"
"1,992,140.30"
"1,993,144.50"
"1,994,148.20"
"1,995,152.40"
"1,996,156.90"
"1,997,160.50"
"1,998,163.00"
"1,999,166.60"
"2,000,172.20"
"2,001,177.10"
"2,002,179.90"
"2,003,184.00"
"2,004,188.90"
"2,005,195.30"
"2,006,201.60"
"2,007,207.34"
"2,008,215.30"
"2,009,214.54"
"2,010,218.06"
"2,011,224.94"
"2,012,229.59"
"2,013,232.96"
"2,014,236.74"
"2,015,237.02"
"2,016,240.01"
"2,017,245.12"
"2,018,251.11"
"2,019,255.66"
"2,020,258.81"
"2,021,270.97"
"2,022,292.66"
"2,023,304.70"
