State,cost_of_living
Hawaii,55491
Massachusetts,53860
California,53171
New York,49623
New Jersey,49511
Alaska,48670
Maryland,48235
Washington,47231
Connecticut,46912
Oregon,46193
Colorado,45931
New Hampshire,45575
Rhode Island,44481
Delaware,44389
Vermont,43927
Virginia,43067
Nevada,41630
Minnesota,41498
Illinois,41395
Utah,40586
Florida,40512
Pennsylvania,40066
Maine,39899
Arizona,39856
Georgia,38747
Idaho,37658
Texas,37582
Wyoming,37550
Nebraska,37519
Wisconsin,37374
Montana,37328
Michigan,37111
South Dakota,36864
North Carolina,36702
Indiana,36207
Ohio,35932
Iowa,35871
North Dakota,35707
Louisiana,35576
Kentucky,35508
Missouri,35338
Kansas,35185
West Virginia,34861
South Carolina,34826
Tennessee,34742
New Mexico,34501
Oklahoma,33966
Alabama,33654
Arkansas,32979
Mississippi,32336
